[Thu Jul 24 11:13:07 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 11:13:13 2025] LyyService.cpp:1695:main | Loading configurations...
[Thu Jul 24 11:13:13 2025] LyyService.cpp:1697:main | Initialing commands handler...
[Thu Jul 24 11:14:07 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 11:15:07 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 11:16:07 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 11:16:19 2025] CommandManager.h:149:CommandManager::execute | Player with growId Oxygen executing /? in world START!
[Thu Jul 24 11:16:25 2025] CommandManager.h:149:CommandManager::execute | Player with growId Oxygen executing /? 2 in world START!
[Thu Jul 24 11:16:34 2025] CommandManager.h:149:CommandManager::execute | Player with growId Oxygen executing /test in world START!
[Thu Jul 24 11:16:40 2025] CommandManager.h:149:CommandManager::execute | Player with growId Oxygen executing /giv 2 100 in world START!
[Thu Jul 24 11:16:48 2025] CommandManager.h:149:CommandManager::execute | Player with growId Oxygen executing /givd 2 100 in world START!
[Thu Jul 24 11:16:48 2025] CommandManager.h:467:CommandManager::handle_givd | Value 2,100 [prize] from in /givd
[Thu Jul 24 11:16:48 2025] CommandManager.h:510:CommandManager::handle_givd | Value 2:100 [prize] from in /givd
[Thu Jul 24 11:17:07 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 11:17:46 2025] CommandManager.h:149:CommandManager::execute | Player with growId Oxygen executing /givd 2 200 in world STARTSS!
[Thu Jul 24 11:17:46 2025] CommandManager.h:467:CommandManager::handle_givd | Value 2,200 [prize] from in /givd
[Thu Jul 24 11:17:46 2025] CommandManager.h:510:CommandManager::handle_givd | Value 2:200 [prize] from in /givd
[Thu Jul 24 11:18:07 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 11:19:07 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 11:20:07 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 11:21:08 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 11:22:08 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 11:23:10 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 11:24:10 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 11:29:36 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 11:29:45 2025] LyyService.cpp:1695:main | Loading configurations...
[Thu Jul 24 11:29:45 2025] LyyService.cpp:1697:main | Initialing commands handler...
[Thu Jul 24 11:53:50 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 11:53:58 2025] LyyService.cpp:1695:main | Loading configurations...
[Thu Jul 24 11:53:58 2025] LyyService.cpp:1697:main | Initialing commands handler...
[Thu Jul 24 11:54:50 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 11:55:11 2025] CommandManager.h:184:CommandManager::execute | Player with growId Oxygen executing /giccd 200 1 in world STARTSS!
[Thu Jul 24 11:55:18 2025] CommandManager.h:184:CommandManager::execute | Player with growId Oxygen executing /gicd 200 1 in world STARTSS!
[Thu Jul 24 11:55:21 2025] CommandManager.h:184:CommandManager::execute | Player with growId Oxygen executing /y in world STARTSS!
[Thu Jul 24 11:55:27 2025] CommandManager.h:184:CommandManager::execute | Player with growId Oxygen executing /givs 200 1 in world STARTSS!
[Thu Jul 24 11:55:34 2025] CommandManager.h:184:CommandManager::execute | Player with growId Oxygen executing /givd 200 1 in world STARTSS!
[Thu Jul 24 11:55:34 2025] CommandManager.h:532:CommandManager::handle_givd | Value 200,1 [prize] from in /givd
[Thu Jul 24 11:55:34 2025] CommandManager.h:575:CommandManager::handle_givd | Value 200:1 [prize] from in /givd
[Thu Jul 24 11:55:43 2025] CommandManager.h:184:CommandManager::execute | Player with growId Oxygen executing /gibs 200 1 in world STARTSS!
[Thu Jul 24 11:55:49 2025] CommandManager.h:184:CommandManager::execute | Player with growId Oxygen executing /ksmd 200 1 in world STARTSS!
[Thu Jul 24 11:55:50 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 11:55:55 2025] CommandManager.h:184:CommandManager::execute | Player with growId Oxygen executing /nlsp 200 1 in world STARTSS!
[Thu Jul 24 11:56:50 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 12:07:44 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 12:07:49 2025] LyyService.cpp:1695:main | Loading configurations...
[Thu Jul 24 12:07:50 2025] LyyService.cpp:1697:main | Initialing commands handler...
[Thu Jul 24 12:08:44 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 12:09:44 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 12:10:44 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 12:11:40 2025] CommandManager.h:184:CommandManager::execute | Player with growId Oxygen executing /guvs 200 1 in world STARTSS!
[Thu Jul 24 12:11:45 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 12:11:52 2025] CommandManager.h:184:CommandManager::execute | Player with growId Oxygen executing /givda 200 1 in world STARTSS!
[Thu Jul 24 12:12:45 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 12:13:45 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 12:14:45 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 12:26:49 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 12:26:55 2025] LyyService.cpp:1695:main | Loading configurations...
[Thu Jul 24 12:26:56 2025] LyyService.cpp:1697:main | Initialing commands handler...
[Thu Jul 24 12:27:49 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 12:28:13 2025] CommandManager.h:186:CommandManager::execute | Player with growId Oxygen executing /gived 200 1 in world STARTSS!
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/help
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/dance
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/sleep
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/?
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/love
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/favrm
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/test
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/rolleyes
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/facepalm
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/wave
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/fp
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/sad
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/smh
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/dance2
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/yes
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/dab
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/no
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/cheer
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/wink
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/troll
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/getpos
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/shower
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/mad
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/laugh
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/omg
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/lol
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/cry
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/idk
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/fold
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/shrug
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/furious
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/fa
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/sassy
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/march
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/grumpy
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/shy
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/foldarms
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/stubborn
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/csn
[Thu Jul 24 12:28:13 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/givd
[Thu Jul 24 12:28:18 2025] CommandManager.h:186:CommandManager::execute | Player with growId Oxygen executing /y in world STARTSS!
[Thu Jul 24 12:28:18 2025] CommandManager.h:186:CommandManager::execute | Player with growId Oxygen executing /givd 200 1 in world STARTSS!
[Thu Jul 24 12:28:18 2025] CommandManager.h:560:CommandManager::handle_givd | Value 200,1 [prize] from in /givd
[Thu Jul 24 12:28:18 2025] CommandManager.h:603:CommandManager::handle_givd | Value 200:1 [prize] from in /givd
[Thu Jul 24 12:28:33 2025] CommandManager.h:186:CommandManager::execute | Player with growId Oxygen executing /goved 200 1 in world STARTSS!
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/help
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/dance
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/sleep
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/?
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/love
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/favrm
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/test
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/rolleyes
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/facepalm
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/wave
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/fp
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/sad
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/smh
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/dance2
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/yes
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/dab
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/no
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/cheer
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/wink
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/troll
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/getpos
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/shower
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/mad
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/laugh
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/omg
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/lol
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/cry
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/idk
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/fold
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/shrug
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/furious
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/fa
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/sassy
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/march
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/grumpy
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/shy
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/foldarms
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/stubborn
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/csn
[Thu Jul 24 12:28:33 2025] CommandManager.h:250:CommandManager::execute | Machest cmd /love:/givd
[Thu Jul 24 12:28:41 2025] CommandManager.h:186:CommandManager::execute | Player with growId Oxygen executing /y in world STARTSS!
[Thu Jul 24 12:28:41 2025] CommandManager.h:186:CommandManager::execute | Player with growId Oxygen executing /love 200 1 in world STARTSS!
[Thu Jul 24 12:28:49 2025] LyyService.cpp:1679:main::<lambda_1>::operator () | Cleanup 0 expired cache.
[Thu Jul 24 12:28:53 2025] CommandManager.h:186:CommandManager::execute | Player with growId Oxygen executing /givf 200 1 in world STARTSS!
[Thu Jul 24 12:28:53 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/help
[Thu Jul 24 12:28:53 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/dance
[Thu Jul 24 12:28:53 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/sleep
[Thu Jul 24 12:28:53 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/?
[Thu Jul 24 12:28:53 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/love
[Thu Jul 24 12:28:53 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/favrm
[Thu Jul 24 12:28:53 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/test
[Thu Jul 24 12:28:53 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/rolleyes
[Thu Jul 24 12:28:53 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/facepalm
[Thu Jul 24 12:28:53 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/wave
[Thu Jul 24 12:28:53 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/fp
[Thu Jul 24 12:28:53 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/sad
[Thu Jul 24 12:28:54 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/smh
[Thu Jul 24 12:28:54 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/dance2
[Thu Jul 24 12:28:54 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/yes
[Thu Jul 24 12:28:54 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/dab
[Thu Jul 24 12:28:54 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/no
[Thu Jul 24 12:28:54 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/cheer
[Thu Jul 24 12:28:54 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/wink
[Thu Jul 24 12:28:54 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/troll
[Thu Jul 24 12:28:54 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/getpos
[Thu Jul 24 12:28:54 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/shower
[Thu Jul 24 12:28:54 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/mad
[Thu Jul 24 12:28:54 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/laugh
[Thu Jul 24 12:28:54 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/omg
[Thu Jul 24 12:28:54 2025] CommandManager.h:250:CommandManager::execute | Machest cmd :/lol
